message_id,action,message_type,reason,confidence,evidence_message_ids
msg_012,mute,forward,Highly forwarded chain message with greeting/forward pattern.,0.85,message_0247;message_0080;message_0079
msg_013,digest,promotion,"1. Sender & Context: The message is from a member of a group related to university faculty advising, which is not a trusted source for personal transactions. 2. Historical Engagement: The user has a history of dismissing group messages, indicating low engagement with this type of content. 3. Urgency: The message promotes a discount on a recliner with a sense of urgency ('today only' and 'need to clear it fast'), but it is not a critical or time-sensitive alert that requires immediate action. 4. Conclusion: Therefore, the action should be digest as it is a promotional message that can wait.",0.79,message_0081;message_0082
msg_014,mute,business_update,User has consistently dismissed (9) messages from this business recently without engaging. Hard muting.,0.88,none
msg_015,mute,scam,"Message matches known scam/phishing pattern (OTP request, account threats, or prompt injection).",0.88,none
msg_016,mute,scam,Message contains suspicious URL pattern consistent with phishing.,0.88,none
msg_017,digest,personal,User has a historically high dismissal rate for this group (9 dismissals out of 10 interactions). Auto-routing to digest.,0.72,none
msg_018,mute,spam,"1. Sender & Context: The message is from a group member in a marketplace group. 2. Historical Engagement: The user has previously dismissed and reported similar messages as spam. 3. Urgency: The message is a promotional scam, claiming a reward with a sense of urgency to claim it before expiration. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0092;message_0091
msg_019,mute,scam,"Unverified business with domain mismatch (official: chase.com, used: chase-secure-alert.com), account age: 24 days, reports: 55.",0.88,none
msg_020,mute,scam,Message contains suspicious URL pattern consistent with phishing.,0.88,none
msg_021,notify,urgent,"1. Sender & Context: The message is sent by an admin of the group, which is a trusted source. 2. Historical Engagement: The user has a history of reading and replying to similar messages, indicating they find them important. 3. Urgency: The message is time-sensitive, requiring action before 5 PM today regarding payment, which is critical for the residents. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0030;message_0029;message_0044
msg_022,mute,spam,"1. Sender & Context: The message is from a member of the group, not a trusted source or official communication. 2. Historical Engagement: The user has previously dismissed similar payment reminders and has not engaged with messages from this sender. 3. Urgency: The message indicates a payment due today before 5 PM, which is time-sensitive, but the request to send a screenshot of a payment link raises suspicion. 4. Conclusion: Therefore, the action should be mute due to the suspicious nature of the request and the user's history of dismissing similar messages.",0.82,message_0099;message_0100
msg_023,digest,business_update,"1. Sender & Context: The message is from HDFC Bank, a verified business that the user has an active account with. 2. Historical Engagement: The user has opened and engaged positively with similar messages in the past, indicating they find this information valuable. 3. Urgency: The message pertains to an account or card payment update, which is important for the user's financial management, but it is not time-sensitive as it was sent before the DND window. 4. Conclusion: Therefore, the action should be digest.",0.82,message_0243;message_0102;message_0101
msg_024,mute,promotion,User has opted out of promotions from this business.,0.92,none
msg_025,notify,business_update,Verified business sending delivery or order updates.,0.88,none
msg_026,mute,scam,Message contains suspicious URL pattern consistent with phishing.,0.88,none
msg_027,digest,promotion,"1. Sender & Context: The message is from a verified travel business (Thrillophilia) promoting a travel package. 2. Historical Engagement: The user has opened similar messages in the past, indicating some interest in the travel offers. 3. Urgency: The message is promotional and not time-sensitive, as it does not require immediate action. 4. Conclusion: Therefore, the action should be digest.",0.83,message_0272;message_0033;message_0007
msg_028,mute,promotion,"1. Sender & Context: The message is from a verified travel business (Thrillophilia) but the domain used is different from their official domain, which raises a concern. 2. Historical Engagement: The user has opted out of promotions from this business and has a history of dismissing similar messages. 3. Urgency: The message is promotional and not urgent, especially since the user has opted out of marketing messages. 4. Conclusion: Therefore, the action should be mute.",0.82,message_0034;message_0111;message_0112
msg_029,notify,event,"1. Sender & Context: The message is from a member of a marketplace group, which is relevant to the user's interests. 2. Historical Engagement: The user has previously engaged with similar messages in this group, indicating interest in buying clothing. 3. Urgency: The message mentions a specific pickup time this weekend, which adds a time-sensitive element. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0401;message_0113;message_0332
msg_030,mute,spam,"1. Sender & Context: The message is from a group member in a marketplace group. 2. Historical Engagement: The user has a history of dismissing similar messages and has muted the group. 3. Urgency: The message is not urgent and is a casual sale post. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0335;message_0115;message_0050
msg_031,notify,urgent,"1. Sender & Context: The message is from an admin in a coworker group, indicating it is likely important for team coordination. 2. Historical Engagement: The user has a history of reading and replying to similar messages, indicating they find them relevant. 3. Urgency: The message specifies a 7 PM sync and mentions the need to close action items tonight, indicating a time-sensitive requirement. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0118;message_0117;message_0249
msg_032,digest,event,"1. Sender & Context: The message is from a fellow student in a university group chat, which is a trusted context. 2. Historical Engagement: The user has previously opened similar requests for slides and has not dismissed them, indicating they find such messages relevant. 3. Urgency: The request is not urgent as the sender states 'No rush', but it is a request for study materials that could be useful for the user. 4. Conclusion: Therefore, the action should be digest.",0.82,message_0119;message_0285;message_0120
msg_033,digest,greeting,"1. Sender & Context: The message is from a family member in a group chat, which is a trusted context. 2. Historical Engagement: The user has opened messages from this group and has not dismissed or reported similar messages. 3. Urgency: The message is not urgent; it is a casual greeting and a check-in without any immediate action required. 4. Conclusion: Therefore, the action should be digest.",0.82,message_0121;message_0122;message_0393
msg_034,mute,forward,Highly forwarded chain message with greeting/forward pattern.,0.85,message_0078;message_0172;message_0241
msg_035,digest,unknown,LLM routing failed after max retries. Defaulting to digest to prevent message loss.,0.34,message_0281;message_0125;message_0126
msg_036,mute,scam,"Unverified business with domain mismatch (official: razorpayx.com, used: razorpayx-payouts.com), account age: 34 days, reports: 20.",0.88,none
msg_037,notify,urgent,"1. Sender & Context: The message is from a group admin in a society group, which indicates it is a trusted source. 2. Historical Engagement: The user has a good engagement history with group messages, often reading and replying to them. 3. Urgency: The message indicates that the water tanker has arrived and requires immediate action (getting a bucket) within 10 minutes to avoid waiting for the next delivery. This is time-sensitive and important for the residents. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0030;message_0029;message_0129
msg_038,mute,spam,"1. Sender & Context: The message is from a group member in a dance class group. 2. Historical Engagement: The user has a history of dismissing similar forwarded messages, indicating low engagement with this type of content. 3. Urgency: The message contains a chain letter urging immediate action before midnight, but it lacks any real urgency or importance. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0131;message_0132
msg_039,notify,personal,Message directly mentions the user or uses direct pronouns in a short safe context.,0.85,none
msg_040,digest,personal,User has a historically high dismissal rate for this group (9 dismissals out of 10 interactions). Auto-routing to digest.,0.72,none
msg_041,digest,business_update,"1. Sender & Context: The message is from Polaris School of Technology, a verified educational business, but the domain used (weurl.co) does not match their official domain (polaris.school). 2. Historical Engagement: The user has opened previous messages from this sender but has not replied or dismissed them. 3. Urgency: The message is a request for participation in a survey, which is not urgent and can wait. 4. Conclusion: Therefore, the action should be digest.",0.79,message_0137;message_0138
msg_042,notify,urgent,"1. Sender & Context: The message is sent by an admin of the Society Maintenance Desk group, which is a trusted source for community updates. 2. Historical Engagement: The user has previously engaged positively with similar messages, indicating they read and respond to important updates. 3. Urgency: The message indicates a time-sensitive issue (main gate closing in 10 minutes) that requires immediate action to avoid towing. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0140;message_0139;message_0058
msg_043,notify,urgent,"1. Sender & Context: The message is from an admin in the group, which is a trusted source. 2. Historical Engagement: The user has a good engagement history with group messages, often reading and replying to them. 3. Urgency: The message indicates that the tanker is leaving in 15 minutes, which is time-sensitive and requires immediate action for those who missed the morning supply. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0030;message_0029;message_0129
msg_044,mute,scam,"Message matches known scam/phishing pattern (OTP request, account threats, or prompt injection).",0.88,none
msg_045,notify,urgent,"1. Sender & Context: The message is from a member of the group, likely a delivery person for Amazon. 2. Historical Engagement: The user has opened and replied to previous important group messages, indicating they pay attention to relevant updates. 3. Urgency: The message indicates that the delivery person is at the gate and requires confirmation within 10 minutes, making it time-sensitive. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0146;message_0145
msg_046,mute,scam,"1. Sender & Context: The message is from a group member in a family group, but the content is suspicious. 2. Historical Engagement: The user has previously dismissed and reported similar messages about sharing OTPs, indicating they recognize these as scams. 3. Urgency: The message creates a false sense of urgency regarding account closure, which is a common tactic used in scams. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0148;message_0147
msg_047,notify,event,"1. Sender & Context: The message is from an admin of the Society Maintenance Desk group, which is a trusted source for the user. 2. Historical Engagement: The user has a positive engagement history with similar messages, having opened and replied to previous maintenance updates. 3. Urgency: The message indicates a maintenance schedule that affects access to the main lift, which is relevant for the user's daily activities. 4. Conclusion: Therefore, the action should be notify.",0.82,message_0030;message_0150;message_0149
msg_048,mute,scam,"1. Sender & Context: The message is from a group admin in a society maintenance group. 2. Historical Engagement: The user has a history of dismissing similar messages regarding QR payments and has reported them as suspicious. 3. Urgency: The message implies a penalty and immediate action is required, but the user has previously shown distrust towards such requests. 4. Conclusion: Therefore, the action should be mute due to the user's history of dismissing similar messages and the suspicious nature of the QR payment request.",0.82,message_0151;message_0237;message_0152
msg_049,notify,business_update,"1. Sender & Context: The message is from Shopee, a verified e-commerce business. 2. Historical Engagement: The user has opened and engaged with previous messages from Shopee regarding return pickups. 3. Urgency: The message indicates a specific pickup time (2-5 PM today), which is time-sensitive and requires action. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0154;message_0291;message_0153
msg_050,digest,business_update,"1. Sender & Context: The message is from a healthcare-related business, Green Cross Pharmacy, which is not verified and has a domain mismatch. 2. Historical Engagement: The user has opened and engaged positively with similar messages in the past, indicating they are relevant to the user. 3. Urgency: The message suggests checking details before a scheduled time, which implies some level of urgency, but it is not immediate. 4. Conclusion: Therefore, the action should be digest, as it is a useful update but does not require immediate attention.",0.79,message_0279;message_0155;message_0156
msg_051,mute,promotion,User has opted out of promotions from this business.,0.92,none
msg_052,mute,scam,"Unverified business with domain mismatch (official: talabat.com, used: talabat-refund.com), account age: 26 days, reports: 61.",0.88,none
msg_053,digest,promotion,"1. Sender & Context: The message is from a member of the investment tips group, which the user is an admin of. 2. Historical Engagement: The user has opened similar messages in the past and has engaged with the group. 3. Urgency: The message is not urgent as it suggests reading after market hours and is informational in nature. 4. Conclusion: Therefore, the action should be digest.",0.83,message_0411;message_0253;message_0161
msg_054,mute,scam,"1. Sender & Context: The message is from a group member in a local food group, which is not a trusted source for financial transactions. 2. Historical Engagement: The user has previously reported similar messages as scams and has dismissed them without engagement. 3. Urgency: The message creates a false sense of urgency regarding a loan processing fee, which is a common tactic in scams. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0164;message_0163;message_0389
msg_055,notify,urgent,"1. Sender & Context: The message is from a member of the user's extended family group. 2. Historical Engagement: The user has previously engaged positively with similar urgent requests from this sender. 3. Urgency: The sender explicitly states the need for an urgent call within the next ten minutes, indicating a time-sensitive situation. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0166;message_0165;message_0387
msg_056,notify,personal,Message directly mentions the user or uses direct pronouns in a short safe context.,0.85,none
msg_057,notify,personal,Message directly mentions the user or uses direct pronouns in a short safe context.,0.85,none
msg_058,mute,forward,"1. Sender & Context: The message is from a family member in a group chat. 2. Historical Engagement: The user has a strong history of dismissing similar messages (14 dismissals in the last 30 days) and has muted the group. 3. Urgency: The message is a forwarded health tip with no immediate action required, and it has a high forward count (10), indicating it is likely spam or a chain message. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0241;message_0039;message_0040
msg_059,mute,scam,"1. Sender & Context: The message is from a group member in a marketplace group. 2. Historical Engagement: The user has previously opened similar messages that were suspicious, including requests for sensitive information. 3. Urgency: The message creates a false sense of urgency by stating that the approval window closes today, which is a common tactic used in scams. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0174;message_0173;message_0213
msg_060,notify,urgent,"1. Sender & Context: The message is from an admin in a university faculty advising group, which is a trusted source for the user. 2. Historical Engagement: The user has previously opened and replied to similar messages from this group, indicating they find them valuable. 3. Urgency: The message contains a deadline (5 PM today) for submitting important documents, which requires immediate action. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0404;message_0284;message_0176
msg_061,mute,forward,Highly forwarded chain message with greeting/forward pattern.,0.85,message_0194;message_0178
msg_062,digest,event,"1. Sender & Context: The message is from an admin in a group where the user is also an admin, indicating a trusted source. 2. Historical Engagement: The user has a history of engaging with group messages, often reading and replying. 3. Urgency: The message is about a fire alarm test, which is important for safety but does not require immediate action unless the alarm continues after the test. 4. Conclusion: Therefore, the action should be digest as it is informative but not urgent enough to interrupt the user during DND hours.",0.83,message_0030;message_0043;message_0029
msg_063,mute,scam,"1. Sender & Context: The message is from a group member in a local food group, but the content is suspicious and resembles previous scams. 2. Historical Engagement: The user has previously reported similar messages and dismissed them without engagement. 3. Urgency: The message creates a false sense of urgency regarding a payment to avoid account lock, which is a common tactic in scams. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0181;message_0182
msg_064,mute,scam,"1. Sender & Context: The message is from a group member in a marketplace group. 2. Historical Engagement: The user has a history of dismissing similar messages related to KYC and payment verification, indicating distrust. 3. Urgency: The message implies a deadline (midnight) for verifying details, but it resembles previous scam messages that pressured users into providing sensitive information. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0201;message_0087;message_0183
msg_065,digest,promotion,"1. Sender & Context: The message is from a verified business (Target) and relates to a shopping benefit. 2. Historical Engagement: The user has opened similar messages from Target in the past and has an active retail membership, indicating interest. 3. Urgency: The message mentions that the offer is limited and may expire, which adds a sense of urgency. 4. Conclusion: Therefore, the action should be digest as it is a promotional message that the user is likely to find useful but does not require immediate action.",0.79,message_0261;message_0185;message_0186
msg_066,mute,promotion,User has opted out of promotions from this business.,0.92,none
msg_067,notify,urgent,"1. Sender & Context: The message is from an admin in the group, which is a trusted source. 2. Historical Engagement: The user has a history of reading and replying to group messages, indicating they value these updates. 3. Urgency: The message contains a time-sensitive request regarding a maintenance payment due by 5 PM today, which is urgent and requires immediate action to avoid late fees. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0030;message_0029;message_0044
msg_068,digest,event,"1. Sender & Context: The message is from a member of the Indiranagar Book Club group, which the user is part of. 2. Historical Engagement: The user has opened and read similar messages in the past, indicating some level of engagement. 3. Urgency: The message states there is no urgency and mentions a plan to discuss later, which aligns with the user's DND window. 4. Conclusion: Therefore, the action should be digest.",0.82,message_0191;message_0192
msg_069,mute,forward,Highly forwarded chain message with greeting/forward pattern.,0.85,message_0194;message_0178
msg_070,mute,scam,"Message matches known scam/phishing pattern (OTP request, account threats, or prompt injection).",0.88,none
msg_071,digest,event,"1. Sender & Context: The message is from a family member in a group chat. 2. Historical Engagement: The user has opened messages from this group but has not replied, indicating a passive engagement. 3. Urgency: The message discusses a potential meeting but lacks urgency and is not time-sensitive. It can wait for confirmation later. 4. Conclusion: Therefore, the action should be digest.",0.82,message_0197;message_0198
msg_072,mute,scam,"Message matches known scam/phishing pattern (OTP request, account threats, or prompt injection).",0.88,none
msg_073,mute,scam,"1. Sender & Context: The message is from a group member in a marketplace group. The sender is not a trusted source and has sent a message that appears to be a security alert. 2. Historical Engagement: The user has a strong history of dismissing similar messages that involve verification through links, indicating they are unwanted and likely scams. 3. Urgency: The message creates a false sense of urgency regarding account security, which is a common tactic used in scams. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0202;message_0184;message_0201
msg_074,digest,personal,User has a historically high dismissal rate for this group (9 dismissals out of 9 interactions). Auto-routing to digest.,0.72,none
msg_075,notify,business_update,"1. Sender & Context: The message is from Grab, a verified ride-booking business. 2. Historical Engagement: The user has opened and engaged with previous messages from Grab, indicating they value these updates. 3. Urgency: The message indicates a change in pickup or route status, which is time-sensitive and requires the user to check the app for the latest details. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0206;message_0205
msg_076,mute,scam,"Unverified business with domain mismatch (official: talabat.com, used: talabat-refund.com), account age: 26 days, reports: 61.",0.88,none
msg_077,digest,event,"1. Sender & Context: The message is from an admin in a school group, which is a trusted source. 2. Historical Engagement: The user has previously engaged positively with similar messages, indicating they read and respond to school-related updates. 3. Urgency: The message contains time-sensitive information about a field trip, with a deadline for signing consent and packing items. 4. Conclusion: Therefore, the action should be notify. (Downgraded to digest due to active DND window).",0.83,message_0403;message_0051;message_0037
msg_078,digest,personal,User has a historically high dismissal rate for this group (9 dismissals out of 10 interactions). Auto-routing to digest.,0.72,none
msg_079,mute,scam,"Message matches known scam/phishing pattern (OTP request, account threats, or prompt injection).",0.88,none
msg_080,notify,urgent,"1. Sender & Context: The message is from a group admin in a society group, which is a trusted source. 2. Historical Engagement: The user has a good engagement history with similar messages, often reading and replying to them. 3. Urgency: The message indicates that cars need to be moved within 10 minutes to avoid security issues, making it time-sensitive. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0030;message_0029;message_0129
msg_081,notify,urgent,"1. Sender & Context: The message is from a trusted group admin in the school transport group. 2. Historical Engagement: The user has previously opened and replied to similar messages from this sender, indicating they find this information relevant. 3. Urgency: The message contains time-sensitive information regarding a change in pickup location, requiring the user to act by 3:40. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0217
msg_082,notify,urgent,"1. Sender & Context: The message is from an admin in a work-related group (Checkout Platform Co-workers). 2. Historical Engagement: The user has opened and engaged with similar messages in the past, indicating they find them relevant. 3. Urgency: The message indicates a critical issue with payments failing for live users, which requires immediate attention. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0218;message_0397;message_0380
msg_083,digest,event,"1. Sender & Context: The message is from an admin in a work-related group, which is a trusted context. 2. Historical Engagement: The user has opened similar messages from this sender in the past, indicating some level of engagement. 3. Urgency: The message states 'nothing urgent' and requests comments before lunch, suggesting it is important but not time-sensitive. 4. Conclusion: Therefore, the action should be digest.",0.82,message_0219
msg_084,mute,business_update,User has consistently dismissed (8) messages from this business recently without engaging. Hard muting.,0.88,none
msg_085,mute,scam,"Unverified business with domain mismatch (official: hdfc.bank.in, used: hdfcbank-kyc.in), account age: 20 days, reports: 38.",0.88,none
msg_086,notify,business_update,"1. Sender & Context: The message is from a verified travel business (Thrillophilia) regarding a confirmed travel booking. 2. Historical Engagement: The user has opened and engaged positively with similar messages in the past. 3. Urgency: The message contains an important update about an airport pickup time, which is time-sensitive as it is for the next day. 4. Conclusion: Therefore, the action should be notify.",0.82,message_0222
msg_087,digest,personal,User has a historically high dismissal rate for this group (9 dismissals out of 9 interactions). Auto-routing to digest.,0.72,none
msg_088,mute,unknown,"1. Sender & Context: The message is from a member of a marketplace group, which the user has muted. 2. Historical Engagement: The user has a strong history of dismissing similar messages in this group, indicating low interest. 3. Urgency: The message is not urgent; it is a request for confirmation about an item that is not time-sensitive. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0050;message_0335;message_0224
msg_089,notify,urgent,"1. Sender & Context: The message is from Meera, a personal contact from a pottery workshop, indicating a direct communication. 2. Historical Engagement: The user has opened and replied to personal messages before, suggesting they engage with personal contacts. 3. Urgency: The message indicates a time-sensitive situation regarding the user's blue water bottle, which must be picked up by 7 PM today. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0301;message_0299;message_0396
msg_090,digest,personal,"1. Sender & Context: The message is from a personal contact (u_050) who is inquiring about a package mix-up. 2. Historical Engagement: The user has opened and engaged with personal messages before, indicating they are likely to read this. 3. Urgency: The sender states there is no urgency, and it is a simple check-in before making another call. 4. Conclusion: Therefore, the action should be digest.",0.82,message_0339;message_0338;message_0340
msg_091,mute,scam,"1. Sender & Context: The message is from a personal contact, but the content is suspicious. 2. Historical Engagement: The user has previously dismissed similar messages regarding workspace access and reported them as spam. 3. Urgency: The message creates a false sense of urgency by stating that access will expire today and requests a login code, which aligns with scam tactics. 4. Conclusion: Therefore, the action should be mute.",0.83,message_0238;message_0381
msg_092,digest,business_update,"1. Sender & Context: The message is from American Express, a verified business. 2. Historical Engagement: The user has not opened any messages from this business in the last 30 days, indicating a lack of engagement. 3. Urgency: The message is about a monthly card statement, which is important but not urgent, especially since it can be reviewed at the user's convenience. 4. Conclusion: Therefore, the action should be digest.",0.83,message_0385;message_0346;message_0345
msg_093,digest,business_update,"1. Sender & Context: The message is from FedEx, a verified logistics business, indicating a delivery attempt. 2. Historical Engagement: The user has opened previous business messages from FedEx and has not dismissed them, indicating a level of engagement. 3. Urgency: The delivery is scheduled for today between 2 PM and 4 PM, which is time-sensitive and requires the user to be prepared with an ID. 4. Conclusion: Therefore, the action should be notify. (Downgraded to digest due to active DND window).",0.83,message_0398;message_0349;message_0347
msg_094,mute,promotion,User has opted out of promotions from this business.,0.92,none
msg_095,mute,scam,"Message matches known scam/phishing pattern (OTP request, account threats, or prompt injection).",0.88,none
msg_096,notify,urgent,"1. Sender & Context: The message is from a personal contact (u_049) who is notifying the user about a found passport. 2. Historical Engagement: The user has opened and replied to messages from this sender in the past, indicating a trusted relationship. 3. Urgency: The message indicates a time-sensitive situation, as the passport needs to be picked up before 18:00. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0405;message_0353;message_0354
msg_097,digest,personal,"1. Sender & Context: The message is from a personal contact (u_041) who is trusted. 2. Historical Engagement: The user has opened and engaged with similar messages from this sender in the past. 3. Urgency: The sender explicitly states that there is nothing urgent and suggests talking tomorrow morning. 4. Conclusion: Therefore, the action should be digest.",0.83,message_0359;message_0167;message_0054
msg_098,notify,urgent,"1. Sender & Context: The message is from a personal contact (u_041) who is likely trusted, as they have communicated about appointments before. 2. Historical Engagement: The user has opened and replied to previous messages from this sender, indicating they value this communication. 3. Urgency: The message is time-sensitive, as it involves a decision about a medical appointment that requires immediate input from the user. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0359;message_0168;message_0226
msg_099,digest,event,"1. Sender & Context: The message is from a personal contact (u_046) who has previously sent work-related messages. 2. Historical Engagement: The user has opened and replied to similar messages in the past, indicating they are engaged with this sender. 3. Urgency: The message mentions a review scheduled for 11 AM the next day, suggesting that while it is not urgent, it is time-sensitive as it should be read before the standup. 4. Conclusion: Therefore, the action should be digest, as it is useful information that can wait until the user is available to read it.",0.83,message_0227;message_0055;message_0249
msg_100,digest,unknown,LLM routing failed after max retries. Defaulting to digest to prevent message loss.,0.37,message_0228;message_0362;message_0055
msg_101,digest,personal,"1. Sender & Context: The message is from a personal contact (u_054) who is likely a family member or close friend. 2. Historical Engagement: The user has opened similar messages in the past but has not replied, indicating they read them but do not feel the need to respond. 3. Urgency: The message is casual and does not require immediate action; it simply informs the user about food left in the fridge. 4. Conclusion: Therefore, the action should be digest.",0.82,message_0268;message_0370;message_0229
msg_102,notify,urgent,"1. Sender & Context: The message is from a personal contact (u_046) who has previously sent similar messages regarding production rollbacks. 2. Historical Engagement: The user has opened and replied to similar messages in the past, indicating they are engaged and find these messages important. 3. Urgency: The message indicates a need for the user to stay online for the next 30 minutes, which is time-sensitive and requires immediate attention. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0371;message_0230;message_0003
msg_103,notify,urgent,"1. Sender & Context: The message is from a personal contact (u_048) who has previously communicated about items for sale. 2. Historical Engagement: The user has opened and replied to previous messages from this sender, indicating a positive engagement history. 3. Urgency: The message requests the user to collect the jacket by 6 PM, which is time-sensitive and requires a response. 4. Conclusion: Therefore, the action should be notify.",0.83,message_0065;message_0231;message_0049
msg_104,digest,event,"1. Sender & Context: The message is from a personal contact (u_048) who is offering to hold a jacket for the user. 2. Historical Engagement: The user has a strong history of dismissing similar messages related to pickups and sales, indicating low engagement with this type of content. 3. Urgency: The message requests a pickup by 6 PM, which is time-sensitive, but given the user's history of dismissing such messages, it may not be perceived as urgent. 4. Conclusion: Therefore, the action should be digest.",0.79,message_0232;message_0050;message_0224
msg_105,mute,forward,"1. Sender & Context: The message is from a personal contact (u_051). 2. Historical Engagement: The user has a history of dismissing similar forwarded health tips, indicating low interest. 3. Urgency: The message is a forwarded health tip with no immediate action required, and it has been forwarded 7 times, suggesting it lacks original content. 4. Conclusion: Therefore, the action should be mute.",0.82,message_0373;message_0233
msg_106,notify,urgent,"1. Sender & Context: The message is from a personal contact (u_054) regarding dance practice. 2. Historical Engagement: The user has opened and replied to similar messages in the past, indicating they value this communication. 3. Urgency: The message contains time-sensitive information about the location of practice and a specific time to enter (before 7:15), which requires immediate attention. 4. Conclusion: Therefore, the action should be notify.",0.82,message_0376;message_0234;message_0377
msg_107,mute,scam,"Message matches known scam/phishing pattern (OTP request, account threats, or prompt injection).",0.88,none
msg_108,mute,scam,"Unverified business with domain mismatch (official: chase.com, used: chase-secure-alert.com), account age: 24 days, reports: 55.",0.88,none
msg_109,mute,spam,"1. Sender & Context: The message is from a trusted admin in the group. 2. Historical Engagement: The user has a history of dismissing similar messages regarding payment QR codes, indicating skepticism towards such requests. 3. Urgency: The message states that the penalty must be cleared before 6 PM, which adds urgency. However, given the user's past behavior of dismissing similar messages, this could be seen as a potential scam. 4. Conclusion: Therefore, the action should be mute due to the user's history of dismissing similar messages and the nature of the request being a payment QR code.",0.79,message_0151;message_0237;message_0152
